今日电影排行榜
 排名  	　　　电影名称　　　	搜索指数 
 13  	　超人:钢铁之躯　　	 975 
 14  	　　普罗米修斯　　　	 970 
 15  	　　　阿尔法　　　　	 969 
 16  	　　　　信条　　　　	 963 
 17  	　　僵尸世界大战　　	 960 
 18  	　　　美国队长　　　	 959 
 19  	　　　头号玩家　　　	 957 
 20  	　　　雪国列车　　　	 949 
 21  	　　　盗梦空间　　　	 945 
 22  	　　　x战警　　　　	 941 
 23  	　　　妖兽都市　　　	 915 
 24  	　　　　泰坦　　　　	 884 
 25  	　　　　云图　　　　	 858 
 26  	勇敢者游戏：决战丛林	 855 
 27  	　　　　黑豹　　　　	 852 
 28  	　　　绿巨人　　　　	 844 
 29  	　蝙蝠侠大战超人　　	 842 
 30  	　　　银翼杀手　　　	 820 
 31  	　　　喋血战士　　　	 768 
 32  	　　疯狂的麦克斯　　	 766 
 33  	　　　2012　　　	 723 
 34  	　　　金刚狼　　　　	 698 
 35  	　　　饥饿游戏　　　	 693 
 36  	复仇者联盟2：奥创纪元	 692 
 37  	　　　第五元素　　　	 689 
 38  	　　　源代码　　　　	 684 
 39  	　　　　搁浅　　　　	 679 
 40  	　银翼杀手2049　	 675 
 41  	　　v字仇杀队　　　	 665 
 42  	　　机器人总动员　　	 619 
 43  	　　美国队长2　　　	 591 
 44  	　　　钢铁侠2　　　	 588 
 45  	　　　猩球崛起　　　	 558 
 46  	　　　　后天　　　　	 544 
 47  	　　　绿灯侠　　　　	 532 
 48  	　　　　蚁人　　　　	 527 
 49  	　　　超级战舰　　　	 506 
 50  	　这个男人来自地球　	 504 
今日剧情电影排行榜
 排名  	　　　电影名称　　　	搜索指数 
  1  	　　　第十一回　　　	3901 
  2  	　送你一朵小红花　　	3822 
  3  	　　　钢铁侠3　　　	1910 
  4  	　　　　银魂　　　　	1721 
  5  	致我们终将逝去的青春	1271 
  6  	　　富春山居图　　　	1163 
  7  	　　　倩女幽魂　　　	1086 
  8  	　　寻梦环游记　　　	 995 
  9  	　　拆弹专家2　　　	 989 
 10  	　　　杀破狼　　　　	 981 
 11  	　　　逃出生天　　　	 980 
 12  	　超人:钢铁之躯　　	 975 
 13  	　　普罗米修斯　　　	 970 
 14  	　　　蜘蛛侠　　　　	 970 
 15  	　　　　八佰　　　　	 964 
 16  	　　　　信条　　　　	 963 
 17  	　　　阿甘正传　　　	 962 
 18  	　　　　麻将　　　　	 960 
 19  	　　金陵十三钗　　　	 956 
 20  	　　　极品飞车　　　	 956 
 21  	　　　　风声　　　　	 951 
 22  	　　　白鹿原　　　　	 948 
 23  	　　　姜子牙　　　　	 928 
 24  	　　驯龙高手2　　　	 918 
 25  	　　　金蝉脱壳　　　	 903 
 26  	　　　红海行动　　　	 901 
 27  	　　唐山大地震　　　	 896 
 28  	　　　　芳华　　　　	 890 
 29  	　　　火柴人　　　　	 876 
 30  	　　　机械师　　　　	 872 
 31  	　　　紧急救援　　　	 871 
 32  	　　　　云图　　　　	 858 
 33  	　　圣安地列斯　　　	 857 
 34  	　　　悲惨世界　　　	 856 
 35  	　　甲贺忍法帖　　　	 854 
 36  	　　　阿飞正传　　　	 846 
 37  	　蝙蝠侠大战超人　　	 842 
 38  	　　　一代宗师　　　	 841 
 39  	　　　　奇迹　　　　	 841 
 40  	　　太阳照常升起　　	 828 
 41  	　　　妖猫传　　　　	 827 
 42  	　　　　除暴　　　　	 811 
 43  	　　　锦衣卫　　　　	 810 
 44  	　　　天若有情　　　	 805 
 45  	　　　胭脂扣　　　　	 802 
 46  	　　　　控制　　　　	 794 
 47  	　　　十面埋伏　　　	 792 
 48  	　　　杀人回忆　　　	 783 
 49  	　　假如爱有天意　　	 775 
 50  	　　　破坏之王　　　	 772 
